,2017population,Continent,Count,Count (%),N,N (%),Year,index
86,82114224,Europe,21,4.42,40530,2.07,2011,Germany
87,335025,Europe,7,1.47,183518,9.37,2011,Iceland
88,1339180127,Asia,2,0.42,802,0.04,2011,India
89,263991379,Asia,2,0.42,3614,0.18,2011,Indonesia
90,81162788,Asia,1,0.21,515,0.03,2011,Iran
91,8321570,Asia,1,0.21,189,0.01,2011,Israel
92,59359900,Europe,15,3.16,14762,0.75,2011,Italy
93,127484450,Asia,38,8.0,188647,9.64,2011,Japan
94,50982212,Asia,18,3.79,71874,3.67,2011,"Korea, South"
95,129163276,North America,1,0.21,1310,0.07,2011,Mexico
96,17035938,Europe,14,2.95,61918,3.16,2011,Netherlands
97,4705818,Oceania,1,0.21,129,0.01,2011,New Zealand
98,5305383,Europe,7,1.47,18196,0.93,2011,Norway
99,104918090,Asia,1,0.21,1783,0.09,2011,Philippines
100,143989754,Europe,2,0.42,1096,0.06,2011,Russia
101,8790574,Europe,1,0.21,524,0.03,2011,Serbia
102,5708844,Asia,21,4.42,46738,2.39,2011,Singapore
103,56717156,Africa,2,0.42,230,0.01,2011,South Africa
104,46354321,Europe,2,0.42,1823,0.09,2011,Spain
105,9910701,Europe,1,0.21,327,0.02,2011,Sweden
106,8476005,Europe,3,0.63,6961,0.36,2011,Switzerland
107,69037513,Asia,3,0.63,1825,0.09,2011,Thailand
108,66181585,Europe,31,6.53,198928,10.16,2011,United Kingdom
109,324459463,North America,188,39.58,707959,36.16,2011,United States
110,95540800,Asia,2,0.42,8697,0.44,2011,Vietnam
111,24450561,Oceania,14,2.73,43376,2.06,2012,Australia
112,164669751,Asia,1,0.2,1313,0.06,2012,Bangladesh
113,7084571,Europe,2,0.39,991,0.05,2012,Bulgaria
114,1409517397,Asia,63,12.3,272567,12.94,2012,China
115,4905769,North America,2,0.39,2400,0.11,2012,Costa Rica
116,4189353,Europe,1,0.2,1300,0.06,2012,Croatia
117,5733551,Europe,3,0.59,5270,0.25,2012,Denmark
118,97553151,Africa,1,0.2,372,0.02,2012,Egypt
119,104957438,Africa,2,0.39,1003,0.05,2012,Ethiopia
120,5523231,Europe,14,2.73,86993,4.13,2012,Finland
121,64979548,Europe,7,1.37,14046,0.67,2012,France
122,82114224,Europe,17,3.32,32743,1.55,2012,Germany
123,28833629,Africa,2,0.39,5329,0.25,2012,Ghana
124,335025,Europe,5,0.98,102675,4.88,2012,Iceland
125,1339180127,Asia,5,0.98,14315,0.68,2012,India
126,263991379,Asia,3,0.59,3371,0.16,2012,Indonesia
127,59359900,Europe,4,0.78,7176,0.34,2012,Italy
128,127484450,Asia,60,11.72,472669,22.44,2012,Japan
129,50982212,Asia,15,2.93,46639,2.21,2012,"Korea, South"
130,6082357,Asia,2,0.39,4496,0.21,2012,Lebanon
131,3075647,Asia,1,0.2,756,0.04,2012,Mongolia
132,17035938,Europe,7,1.37,26202,1.24,2012,Netherlands
133,1748,Oceania,1,0.2,285,0.01,2012,Norfolk Island
134,5305383,Europe,4,0.78,1485,0.07,2012,Norway
135,197015955,Asia,2,0.39,6115,0.29,2012,Pakistan
136,104918090,Asia,1,0.2,1776,0.08,2012,Philippines
137,38170712,Europe,2,0.39,571,0.03,2012,Poland
138,143989754,Europe,2,0.39,13931,0.66,2012,Russia
139,32938213,Asia,1,0.2,340,0.02,2012,Saudi Arabia
140,5708844,Asia,5,0.98,12015,0.57,2012,Singapore
141,611343,Oceania,1,0.2,85,0.0,2012,Solomon Islands
142,46354321,Europe,4,0.78,6520,0.31,2012,Spain
143,9910701,Europe,14,2.73,99795,4.74,2012,Sweden
144,69037513,Asia,5,0.98,3180,0.15,2012,Thailand
145,66181585,Europe,34,6.64,226739,10.77,2012,United Kingdom
146,324459463,North America,205,40.04,587198,27.88,2012,United States
147,24450561,Oceania,21,3.53,49494,2.22,2013,Australia
148,285719,North America,2,0.34,2106,0.09,2013,Barbados
149,209288278,South America,10,1.68,6570,0.3,2013,Brazil
150,36624199,North America,7,1.18,15480,0.7,2013,Canada
151,1409517397,Asia,63,10.59,227596,10.23,2013,China
152,4905769,North America,1,0.17,592,0.03,2013,Costa Rica
153,5733551,Europe,8,1.34,27362,1.23,2013,Denmark
154,97553151,Africa,1,0.17,169,0.01,2013,Egypt
155,5523231,Europe,7,1.18,24306,1.09,2013,Finland
156,64979548,Europe,3,0.5,4632,0.21,2013,France
157,82114224,Europe,14,2.35,24663,1.11,2013,Germany
158,28833629,Africa,1,0.17,932,0.04,2013,Ghana
159,16913503,North America,1,0.17,25,0.0,2013,Guatemala
160,335025,Europe,2,0.34,143195,6.44,2013,Iceland
161,1339180127,Asia,6,1.01,9406,0.42,2013,India
162,81162788,Asia,2,0.34,925,0.04,2013,Iran
163,4761657,Europe,1,0.17,263,0.01,2013,Ireland
164,8321570,Asia,1,0.17,2544,0.11,2013,Israel
165,59359900,Europe,7,1.18,5268,0.24,2013,Italy
166,127484450,Asia,55,9.24,162689,7.31,2013,Japan
167,50982212,Asia,37,6.22,71430,3.21,2013,"Korea, South"
168,2890297,Europe,1,0.17,94,0.0,2013,Lithuania
169,31624264,Asia,1,0.17,212,0.01,2013,Malaysia
170,129163276,North America,4,0.67,8722,0.39,2013,Mexico
171,17035938,Europe,14,2.35,22227,1.0,2013,Netherlands
172,104918090,Asia,2,0.34,3501,0.16,2013,Philippines
173,10329506,Europe,1,0.17,139,0.01,2013,Portugal
174,143989754,Europe,2,0.34,502,0.02,2013,Russia
175,32938213,Asia,2,0.34,873,0.04,2013,Saudi Arabia
176,94737,Seven seas (open ocean),1,0.17,1389,0.06,2013,Seychelles
177,5708844,Asia,17,2.86,40907,1.84,2013,Singapore
178,56717156,Africa,2,0.34,1466,0.07,2013,South Africa
179,46354321,Europe,3,0.5,1897,0.09,2013,Spain
180,20876917,Asia,2,0.34,1154,0.05,2013,Sri Lanka
181,9910701,Europe,7,1.18,22089,0.99,2013,Sweden
182,8476005,Europe,1,0.17,1392,0.06,2013,Switzerland
183,23626456,Asia,2,0.34,930,0.04,2013,Taiwan
184,69037513,Asia,1,0.17,1178,0.05,2013,Thailand
185,11532127,Africa,1,0.17,221,0.01,2013,Tunisia
186,80745020,Asia,1,0.17,788,0.04,2013,Turkey
187,9400145,Asia,2,0.34,493,0.02,2013,United Arab Emirates
188,66181585,Europe,30,5.04,181550,8.16,2013,United Kingdom
189,324459463,North America,248,41.68,1153531,51.85,2013,United States
190,24450561,Oceania,7,1.33,10565,0.52,2014,Australia
191,164669751,Asia,9,1.71,34858,1.7,2014,Bangladesh
192,11429336,Europe,2,0.38,2978,0.15,2014,Belgium
193,209288278,South America,3,0.57,2420,0.12,2014,Brazil
194,36624199,North America,4,0.76,7578,0.37,2014,Canada
195,1409517397,Asia,51,9.68,358499,17.48,2014,China
196,5733551,Europe,7,1.33,31627,1.54,2014,Denmark
197,5523231,Europe,7,1.33,22652,1.1,2014,Finland
198,64979548,Europe,4,0.76,12663,0.62,2014,France
199,82114224,Europe,23,4.36,42035,2.05,2014,Germany
200,56480,North America,8,1.52,14044,0.68,2014,Greenland
201,335025,Europe,3,0.57,275242,13.42,2014,Iceland
202,1339180127,Asia,3,0.57,3544,0.17,2014,India
203,8321570,Asia,2,0.38,2945,0.14,2014,Israel
204,59359900,Europe,4,0.76,11196,0.55,2014,Italy
205,127484450,Asia,29,5.5,150630,7.35,2014,Japan
206,50982212,Asia,36,6.83,117675,5.74,2014,"Korea, South"
207,6082357,Asia,1,0.19,3286,0.16,2014,Lebanon
208,31624264,Asia,1,0.19,380,0.02,2014,Malaysia
209,129163276,North America,6,1.14,28776,1.4,2014,Mexico
210,29304998,Asia,1,0.19,981,0.05,2014,Nepal
211,17035938,Europe,28,5.31,113380,5.53,2014,Netherlands
212,143989754,Europe,1,0.19,80,0.0,2014,Russia
213,5708844,Asia,21,3.98,43857,2.14,2014,Singapore
214,56717156,Africa,1,0.19,637,0.03,2014,South Africa
215,46354321,Europe,14,2.66,20500,1.0,2014,Spain
216,9910701,Europe,4,0.76,19721,0.96,2014,Sweden
217,8476005,Europe,2,0.38,2070,0.1,2014,Switzerland
218,57310019,Africa,1,0.19,1213,0.06,2014,Tanzania
219,66181585,Europe,31,5.88,104528,5.1,2014,United Kingdom
220,324459463,North America,211,40.04,606530,29.58,2014,United States
221,95540800,Asia,2,0.38,3262,0.16,2014,Vietnam
222,24450561,Oceania,9,1.26,9038,0.26,2015,Australia
223,164669751,Asia,3,0.42,5058,0.15,2015,Bangladesh
224,11429336,Europe,1,0.14,165,0.0,2015,Belgium
225,209288278,South America,3,0.42,648,0.02,2015,Brazil
226,36624199,North America,13,1.82,2414,0.07,2015,Canada
227,1409517397,Asia,62,8.66,280715,8.14,2015,China
228,5523231,Europe,10,1.4,10207,0.3,2015,Finland
229,64979548,Europe,2,0.28,9476,0.27,2015,France
230,82114224,Europe,13,1.82,32413,0.94,2015,Germany
231,11159773,Europe,3,0.42,4218,0.12,2015,Greece
232,335025,Europe,7,0.98,1480490,42.95,2015,Iceland
233,1339180127,Asia,9,1.26,15732,0.46,2015,India
234,263991379,Asia,1,0.14,135,0.0,2015,Indonesia
235,81162788,Asia,3,0.42,2122,0.06,2015,Iran
236,4761657,Europe,4,0.56,7352,0.21,2015,Ireland
237,8321570,Asia,2,0.28,154,0.0,2015,Israel
238,59359900,Europe,19,2.65,165681,4.81,2015,Italy
239,127484450,Asia,26,3.63,102521,2.97,2015,Japan
240,50982212,Asia,32,4.47,64321,1.87,2015,"Korea, South"
241,29304998,Asia,2,0.28,301,0.01,2015,Nepal
242,17035938,Europe,29,4.05,93748,2.72,2015,Netherlands
243,5305383,Europe,6,0.84,11980,0.35,2015,Norway
244,197015955,Asia,5,0.7,38379,1.11,2015,Pakistan
245,10329506,Europe,2,0.28,699,0.02,2015,Portugal
246,143989754,Europe,2,0.28,15087,0.44,2015,Russia
247,32938213,Asia,1,0.14,891,0.03,2015,Saudi Arabia
248,5708844,Asia,17,2.37,29621,0.86,2015,Singapore
249,46354321,Europe,13,1.82,7195,0.21,2015,Spain
250,563402,South America,2,0.28,2,0.0,2015,Suriname
251,9910701,Europe,21,2.93,23408,0.68,2015,Sweden
252,69037513,Asia,3,0.42,1756,0.05,2015,Thailand
253,80745020,Asia,2,0.28,1238,0.04,2015,Turkey
254,66181585,Europe,39,5.45,343876,9.98,2015,United Kingdom
255,324459463,North America,349,48.74,684052,19.84,2015,United States
256,95540800,Asia,1,0.14,2042,0.06,2015,Vietnam
257,24450561,Oceania,7,0.94,11672,0.09,2016,Australia
258,209288278,South America,1,0.13,18,0.0,2016,Brazil
259,36624199,North America,10,1.35,4600,0.04,2016,Canada
260,1409517397,Asia,51,6.86,197232,1.58,2016,China
261,5733551,Europe,2,0.27,16425,0.13,2016,Denmark
262,104957438,Africa,2,0.27,646,0.01,2016,Ethiopia
263,5523231,Europe,52,7.0,247282,1.99,2016,Finland
264,64979548,Europe,7,0.94,19680,0.16,2016,France
265,82114224,Europe,12,1.62,32095,0.26,2016,Germany
266,9721559,Europe,2,0.27,2,0.0,2016,Hungary
267,335025,Europe,3,0.4,341239,2.74,2016,Iceland
268,1339180127,Asia,9,1.21,9988,0.08,2016,India
269,59359900,Europe,4,0.54,7983,0.06,2016,Italy
270,127484450,Asia,31,4.17,120351,0.97,2016,Japan
271,49699862,Africa,4,0.54,10538,0.08,2016,Kenya
272,50982212,Asia,18,2.42,54453,0.44,2016,"Korea, South"
273,129163276,North America,1,0.13,323,0.0,2016,Mexico
274,35739580,Africa,2,0.27,1525,0.01,2016,Morocco
275,29304998,Asia,1,0.13,295,0.0,2016,Nepal
276,17035938,Europe,22,2.96,93930,0.75,2016,Netherlands
277,4705818,Oceania,1,0.13,1536,0.01,2016,New Zealand
278,5305383,Europe,7,0.94,6528,0.05,2016,Norway
279,197015955,Asia,5,0.67,24094,0.19,2016,Pakistan
280,104918090,Asia,1,0.13,1449,0.01,2016,Philippines
281,38170712,Europe,6,0.81,5792,0.05,2016,Poland
282,10329506,Europe,2,0.27,746,0.01,2016,Portugal
283,143989754,Europe,3,0.4,1077,0.01,2016,Russia
284,196440,Oceania,1,0.13,3072,0.02,2016,Samoa
285,32938213,Asia,5,0.67,14659,0.12,2016,Saudi Arabia
286,15850567,Africa,5,0.67,2640,0.02,2016,Senegal
287,5708844,Asia,5,0.67,22770,0.18,2016,Singapore
288,46354321,Europe,6,0.81,4931,0.04,2016,Spain
289,9910701,Europe,10,1.35,29776,0.24,2016,Sweden
290,8476005,Europe,5,0.67,4129,0.03,2016,Switzerland
291,23626456,Asia,4,0.54,971,0.01,2016,Taiwan
292,66181585,Europe,98,13.19,9209350,73.93,2016,United Kingdom
293,324459463,North America,338,45.49,1952862,15.68,2016,United States
294,24450561,Oceania,8,0.58,8168,0.05,2017,Australia
295,8735453,Europe,3,0.22,5793,0.04,2017,Austria
296,164669751,Asia,3,0.22,6055,0.04,2017,Bangladesh
297,209288278,South America,8,0.58,15028,0.1,2017,Brazil
298,36624199,North America,14,1.01,4702,0.03,2017,Canada
299,1409517397,Asia,74,5.32,269887,1.77,2017,China
300,10618303,Europe,1,0.07,566,0.0,2017,Czechia
301,5733551,Europe,5,0.36,16608,0.11,2017,Denmark
302,104957438,Africa,4,0.29,682,0.0,2017,Ethiopia
303,905502,Oceania,1,0.07,319,0.0,2017,Fiji
304,5523231,Europe,106,7.62,745136,4.9,2017,Finland
305,64979548,Europe,35,2.52,21433,0.14,2017,France
306,2100568,Africa,1,0.07,2698,0.02,2017,"Gambia, The"
307,82114224,Europe,18,1.29,46591,0.31,2017,Germany
308,28833629,Africa,1,0.07,932,0.01,2017,Ghana
309,11159773,Europe,31,2.23,99603,0.65,2017,Greece
310,16913503,North America,1,0.07,96,0.0,2017,Guatemala
311,335025,Europe,17,1.22,1155605,7.6,2017,Iceland
312,1339180127,Asia,4,0.29,8018,0.05,2017,India
313,59359900,Europe,12,0.86,9144,0.06,2017,Italy
314,127484450,Asia,52,3.74,633975,4.17,2017,Japan
315,9702353,Asia,1,0.07,281,0.0,2017,Jordan
316,50982212,Asia,48,3.45,235883,1.55,2017,"Korea, South"
317,129163276,North America,7,0.5,2917,0.02,2017,Mexico
318,3075647,Asia,1,0.07,542,0.0,2017,Mongolia
319,29668834,Africa,2,0.14,70,0.0,2017,Mozambique
320,17035938,Europe,21,1.51,134928,0.89,2017,Netherlands
321,190886311,Africa,1,0.07,1056,0.01,2017,Nigeria
322,197015955,Asia,3,0.22,16188,0.11,2017,Pakistan
323,104918090,Asia,31,2.23,43928,0.29,2017,Philippines
324,38170712,Europe,4,0.29,5745,0.04,2017,Poland
325,3663131,North America,4,0.29,864,0.01,2017,Puerto Rico
326,2639211,Asia,1,0.07,338,0.0,2017,Qatar
327,5708844,Asia,4,0.29,11786,0.08,2017,Singapore
328,2079976,Europe,2,0.14,355,0.0,2017,Slovenia
329,56717156,Africa,4,0.29,912,0.01,2017,South Africa
330,46354321,Europe,1,0.07,1291,0.01,2017,Spain
331,9910701,Europe,25,1.8,80221,0.53,2017,Sweden
332,8476005,Europe,2,0.14,458,0.0,2017,Switzerland
333,23626456,Asia,12,0.86,40560,0.27,2017,Taiwan
334,69037513,Asia,2,0.14,2296,0.02,2017,Thailand
335,80745020,Asia,1,0.07,787,0.01,2017,Turkey
336,42862958,Africa,5,0.36,7543,0.05,2017,Uganda
337,66181585,Europe,199,14.31,8115517,53.35,2017,United Kingdom
338,324459463,North America,610,43.85,3456662,22.72,2017,United States
339,28250420,Asia,1,0.07,589,0.0,2017,Yemen
340,24450561,Oceania,17,1.29,35089,0.11,2018,Australia
341,164669751,Asia,5,0.38,4032,0.01,2018,Bangladesh
342,209288278,South America,2,0.15,266,0.0,2018,Brazil
343,36624199,North America,9,0.68,27742,0.09,2018,Canada
344,1409517397,Asia,118,8.96,184699,0.6,2018,China
345,4189353,Europe,6,0.46,11915,0.04,2018,Croatia
346,5733551,Europe,10,0.76,113488,0.37,2018,Denmark
347,5523231,Europe,13,0.99,22050,0.07,2018,Finland
348,64979548,Europe,37,2.81,36759,0.12,2018,France
349,82114224,Europe,13,0.99,28724,0.09,2018,Germany
350,11159773,Europe,6,0.46,10128,0.03,2018,Greece
351,335025,Europe,15,1.14,3065020,9.92,2018,Iceland
352,1339180127,Asia,3,0.23,1374,0.0,2018,India
353,263991379,Asia,1,0.08,130,0.0,2018,Indonesia
354,4761657,Europe,3,0.23,6696,0.02,2018,Ireland
355,8321570,Asia,15,1.14,18548,0.06,2018,Israel
356,59359900,Europe,5,0.38,2126,0.01,2018,Italy
357,127484450,Asia,176,13.36,6861968,22.2,2018,Japan
358,49699862,Africa,1,0.08,2857,0.01,2018,Kenya
359,50982212,Asia,45,3.42,189115,0.61,2018,"Korea, South"
360,4136528,Asia,8,0.61,10116,0.03,2018,Kuwait
361,31624264,Asia,1,0.08,771,0.0,2018,Malaysia
362,129163276,North America,4,0.3,3169,0.01,2018,Mexico
363,29304998,Asia,57,4.33,41404,0.13,2018,Nepal
364,17035938,Europe,36,2.73,79784,0.26,2018,Netherlands
365,190886311,Africa,14,1.06,15510,0.05,2018,Nigeria
366,5305383,Europe,10,0.76,75619,0.24,2018,Norway
367,197015955,Asia,3,0.23,21212,0.07,2018,Pakistan
368,32165485,South America,1,0.08,2512,0.01,2018,Peru
369,104918090,Asia,8,0.61,14120,0.05,2018,Philippines
370,10329506,Europe,1,0.08,306,0.0,2018,Portugal
371,143989754,Europe,1,0.08,1468,0.0,2018,Russia
372,5708844,Asia,11,0.84,15888,0.05,2018,Singapore
373,56717156,Africa,1,0.08,275,0.0,2018,South Africa
374,46354321,Europe,18,1.37,51728,0.17,2018,Spain
375,9910701,Europe,11,0.84,20299,0.07,2018,Sweden
376,23626456,Asia,10,0.76,42021,0.14,2018,Taiwan
377,57310019,Africa,2,0.15,1828,0.01,2018,Tanzania
378,69037513,Asia,4,0.3,3518,0.01,2018,Thailand
379,42862958,Africa,3,0.23,2335,0.01,2018,Uganda
380,9400145,Asia,1,0.08,502,0.0,2018,United Arab Emirates
381,66181585,Europe,163,12.38,15069082,48.76,2018,United Kingdom
382,324459463,North America,448,34.02,4808394,15.56,2018,United States
383,31977065,South America,1,0.08,374,0.0,2018,Venezuela
384,24450561,Oceania,7,0.6,9531,0.02,2019,Australia
385,36624199,North America,6,0.51,3284,0.01,2019,Canada
386,18054726,South America,2,0.17,2738,0.01,2019,Chile
387,1409517397,Asia,31,2.65,169743,0.34,2019,China
388,4189353,Europe,11,0.94,11580,0.02,2019,Croatia
389,11484636,North America,1,0.09,762,0.0,2019,Cuba
390,5733551,Europe,16,1.37,514158,1.02,2019,Denmark
391,97553151,Africa,2,0.17,1205,0.0,2019,Egypt
392,5523231,Europe,43,3.67,255390,0.5,2019,Finland
393,64979548,Europe,9,0.77,8373,0.02,2019,France
394,82114224,Europe,11,0.94,45684,0.09,2019,Germany
395,335025,Europe,36,3.07,2877656,5.68,2019,Iceland
396,1339180127,Asia,12,1.02,28960,0.06,2019,India
397,81162788,Asia,1,0.09,1176,0.0,2019,Iran
398,59359900,Europe,1,0.09,294,0.0,2019,Italy
399,127484450,Asia,41,3.5,1341520,2.65,2019,Japan
400,50982212,Asia,59,5.03,372747,0.74,2019,"Korea, South"
401,6082357,Asia,1,0.09,2700,0.01,2019,Lebanon
402,17035938,Europe,16,1.37,78747,0.16,2019,Netherlands
403,5305383,Europe,4,0.34,164206,0.32,2019,Norway
404,32165485,South America,2,0.17,4292,0.01,2019,Peru
405,2639211,Asia,1,0.09,327,0.0,2019,Qatar
406,5708844,Asia,15,1.28,26130,0.05,2019,Singapore
407,56717156,Africa,3,0.26,4208,0.01,2019,South Africa
408,46354321,Europe,17,1.45,9104,0.02,2019,Spain
409,20876917,Asia,24,2.05,38371,0.08,2019,Sri Lanka
410,9910701,Europe,9,0.77,17407,0.03,2019,Sweden
411,23626456,Asia,4,0.34,24863,0.05,2019,Taiwan
412,69037513,Asia,1,0.09,318,0.0,2019,Thailand
413,80745020,Asia,1,0.09,1828,0.0,2019,Turkey
414,42862958,Africa,19,1.62,38358,0.08,2019,Uganda
415,66181585,Europe,242,20.65,37700117,74.47,2019,United Kingdom
416,324459463,North America,524,44.71,6867386,13.57,2019,United States
